title,commentCount
Ask HN: What's your quarantine side project?,2248
Ask HN: What game do you wish existed?,1838
Ask HN: What sub $200 product improved your 2022,1547
Ask HN: What's the worst piece of software you use everyday?,1499
Ask HN: Share your personal site,1392
Ask HN: What are you surprised isn’t being worked on more?,1239
Ask HN: What projects are you working on now?,1235
Ask HN: What are you working on?,1232
Ask HN: Favorite purchases of last two years?,1190
Ask HN: Who is hiring? (March 2018),1187
Ask HN: What's the next big thing that few people are talking about?,1174
Ask HN: What books changed the way you think about almost everything?,1164
Ask HN: What do you want to see in Ubuntu 17.10?,1146
Ask HN: What tech job would let me get away with the least real work possible?,1092
Ask HN: What Lived Up to the Hype?,1091
Ask HN: Cheap places to live with a good intellectual atmosphere?,1088
Ask HN: What's the most valuable thing you can learn in an hour?,1077
Ask HN: A New Decade. Any Predictions?,1071
Ask HN: What do you do with your Raspberry Pi?,1070
Ask HN: Are most of us developers lying about how much work we do?,1064
Ask HN: What're the best-designed things you've ever used?,1064
Ask HN: Is S3 down?,1055
Ask HN: What discontinued company/product do you wish was still around?,1052
Ask HN: Any weird tips for weight loss?,1025
Ask HN: What is the biggest untapped opportunity for startups?,1002
Ask HN: Best books you read in the past decade?,985
Ask HN: What tech were you convinced would take the world by storm but didn't?,983
Ask HN: What are the best-designed things you've ever used?,973
Ask HN: I've been slacking off at Google for 6 years. How can I stop this?,970
Ask HN: How to increase SWE salaries in Europe?,945
Ask HN: Pros and cons of working at a startup in 2018?,939
Ask HN: What is your “I don't care if this succeeds” project?,935
Ask HN: What's a promising area to work on?,918
Ask HN: Concepts that clicked only years after you first encountered them?,913
Ask HN: What is your spiritual practice?,913
Ask HN: Why is Firefox losing marketshare and how would you save it?,906
Ask HN: Pick startups for YC to fund,877
Ask HN: What simple tools or products are you most proud of making?,868
Ask HN: What's the best tool you used to use that doesn't exist anymore?,868
Ask HN: Are you ok?,864
Ask HN: Recommended resources to learn the Linux kernel and OS theory?,864
Ask HN: What Skills to Acquire in 2020?,862


Ask HN: How do you deal with getting old and feeling lost?,850



Ask HN: Anyone know any funny programming jokes?,850
Ask HN: What you up to? (Who doesn't want to be hired?),841
Ask HN: Those making $500/month on side projects in 2021 – Show and tell,839
Ask HN: If you were to switch career, what would you do?,833
Ask HN: Who Wants to Be Fired?,831
Ask HN: Show me your half baked project,820
Ask HN: How can a unhireable person get a job?,819
Ask HN: Name one idea that changed your life,815
Ask HN: What scientific phenomenon do you wish someone would explain better?,813
Ask HN: When did 7 interviews become “normal”?,812



Ask HN: What weird or hard problems are you trying to solve?,812
Ask HN: Which abandoned proprietary software would you resurrect?,807
Ask HN: How do we stop the polarization/toxicicity filling the web?,804
Ask HN: What are some “10x” software product innovations you have experienced?,795
Ask HN: How to learn sales?,793
Ask HN: What’s a good laptop for software development at around $2k?,790
Ask HN: Best way to host a website for 500 years?,787

Ask HN: Why don't I see gold at the end of the remote working rainbow?,787
Ask HN: What are your predictions for 2023?,782
Ask HN: Gmail account security,774
Ask HN: What are you working on and why is it cool?,768
Ask HN: What was your “why didn't I start doing this sooner” moment?,767

Ask HN: Teach me something new,762


Ask HN: Is your company sticking to on-premise servers? Why?,755
Ask HN: Comment here about whatever you're passionate about at the moment,754
Ask HN: What are some cool but obscure data structures you know about?,753
Ask HN: Is there still a place for native desktop apps?,751
Ask HN: If you could work remote where would you live?,742
Ask HN: What is the most impactful thing you've built?,735
(https://news.ycombinator.com/item?id=1025681),732
Ask HN: Anyone else feels the commoditization of real estate is unethical?,731
Ask HN: Has anyone here turned around their life in their 40s?,730
Ask HN: What are you working on?,730
Ask HN: What has your work taught you that other people don't realize?,725
Ask HN: Mind bending books to read and never be the same as before?,719
Ask HN: What does one look for in a laptop these days?,719
Ask HN: What is your money-making side project outside programming?,717
Ask HN: Is UK government insane or genius?,707
Ask HN: What problem in your industry is a potential startup?,706
Ask HN: What non-work task have you automated?,704
Ask HN: Do you hate software engineering but love programming?,702
Ask HN: What would be your stack if you are building an MVP today?,696
Ask HN: Do you think Agile/Scrum is beneficial for software delivery?,695
Ask HN: Anyone tired of everything being a subscription now?,694
Ask HN: How much do you make at Amazon? Here is how much I make at Amazon,691
Ask HN: What interesting problems are you working on?,689
Ask HN: How to stave off decline of HN?,685
Ask HN: What was your best passive income in 2016?,678
Ask HN: Inherited the worst code and tech team I have ever seen. How to fix it?,676
Ask HN: What startup/technology is on your 'to watch' list?,669
Ask HN: Is web programming a series of hacks on hacks?,661
Ask HN: Successful one-person online businesses?,656
Ask HN: What is your blog and why should I read it?,655
Ask HN: Have you created programs for only your personal use?,652
Ask HN: Should HN ban ChatGPT/generated responses?,647
Ask HN: Why is Reddit on mobile so obsessed with making me use their app?,645
Ask HN: Have you been laid off?,645
Ask HN: Why Is Everything Declining?,643
Ask HN: What's the best book you read in 2021?,631
Ask HN: Successful one-person online businesses?,629
Ask HN: Is anyone else glad the crypto market is crashing?,629
Ask HN: What are you working on and why is it awesome? Please include URL,626
Ask HN: How many of you are open to Piracy again?,622
Ask HN: What interesting problems are you working on?,621
Ask HN: Is all of FAANG like this?,615
Ask HN: I'm writing a book about white-collar drug use, including tech sector,615
Ask HN: Those making $500/month on side projects in 2022 – Show and tell,610
Ask HN: Feasible Alternative to the MacBook Pro?,602
Ask HN: What are some tools / libraries you built yourself?,602
Ask HN: What technologies did you learn in 2018?,601
Ask HN: How would you turn Twitter around?,601
Ask HN: Great fiction books that have had a positive impact on your life?,584
Ask HN: What's a side project you built to make money that hasn't?,584
Ask HN: How did you stop drinking?,584
Ask HN: How do I deal with the first sexual harassment complaint at my startup?,581
Ask HN: What's the largest amount of bad code you have ever seen work?,579
Ask HN: Who wants to be hired? (April 2020),571
Ask HN: What has HN given you?,570
Ask HN: Projects that don't make you money but you're doing it out of sheer joy?,569
Ask HN: Those making $0/month or less on side projects – Show and tell,568
Ask HN: Idea Sunday,566
Ask HN: What things have richly rewarded the time invested in mastering them?,564
Ask HN: What did you work on in 2017?,562
Ask HN: How is the job search coming along for people who got laid off?,560
Ask HN: What's your favorite way of getting a web app up quickly in 2018?,559
Ask HN: Programs that saved you 100 hours? (2022 edition),559
Ask HN: Who Is Firing?,558
Ask HN: What are some of the best documentaries you've seen?,555
Ask HN: We have a great team and capital but can't find a good idea,552
Ask HN: Am I going insane or is there genuinely no value in blockchain tech?,549
Ask HN: Have you ever thought of leaving programming for something else?,548
Ask HN: Advice that changed your life?,548
Ask HN: Have you experienced “hiring fraud?”,547
Ask HN: If you used to be socially awkward and shy, how did you improve?,543
Ask HN: What is the best money you have spent on professional development?,540
Ask HN: Why the Microsoft hate?,539
Ask HN: How are you preparing for COVID-19 disruptions?,539
Ask HN: What under-the-radar technology are you excited about?,535
Ask HN: What do you struggle with?,533
Ask HN: Where can I live off 1k USD per month?,533
Ask HN: What was the biggest contributor to your happiness in the past year?,532
Ask HN: Am I the longest-serving programmer – 57 years and counting?,531
Ask HN: Anyone else burnt out due to extended lockdown and work-from-home?,529
Ask HN: What feature did you find after years of using macOS?,529
Ask HN: What are your favorite developer-efficiency tips?,522
Ask HN: What book changed your life?,522
Ask HN: What should we fund at YC Research?,522
Ask HN: What is the thing you've built that you regret the most?,518
Ask HN: Is there a developer laptop that does not suck and is not a Mac in 2022?,518
Ask HN: Programs that saved you 100 hours?,516
Ask HN: Best book / resources on leadership, especially for tech teams?,515
Ask HN: Thoughts on new GitHub layout?,514
Ask HN: Which tools have made you a much better programmer?,514
Ask HN: What book have you given as a gift?,514
Ask HN: For those programming 10+ years, what do you wish you knew 4 years in?,513
Ask HN: Developers with kids, how do you skill up?,511
Ask HN: I'm 40 and feel my mental ability declining. Programming seems harder.,509
Ask HN: What to do after $8M (all cash, post tax) exit?,508
Ask HN: Who wants to collaborate?,506
Ask HN: Do you recall any book or course that made a topic finally click?,504
Ask HN: Do you have a side project you want to sell?,502
Ask HN: Strategies to land fully remote $250k+ job,500
Ask HN: Burnt-out, directionless but want to turn it around,499
Ask HN: What can be done to prevent a climate catastrophe?,499
Ask HN: Are there any 4K “dumb” televisions?,497
Ask HN: Are there any reasonable alternatives to MacBook Pro for developer?,496
Ask HN: At a peak of my dev career, I hate my life,496
Ask HN: What is the most unethical thing you've done as a programmer?,495
Ask HN: What do you want to learn in 2017?,494
Ask HN: Has Google search become quantitatively worse?,493
Ask HN: What's your favorite elegant/beautiful algorithm?,491
Ask HN: How happy are you working as a programmer?,491
Ask HN: Are you depressed?,490
Ask HN: Why is building Windows apps so complicated?,489
Ask HN: Who wants to collaborate?,488
Ask HN: My boss doesn't think I'm doing good work, how to proceed?,488
Ask HN: Why isn't remote work advertised as a pro environment initiative?,487
Ask HN: Cheapest/easiest way to host a static site?,486
Ask HN: What are examples of companies dying due to many people quitting?,486
(http://www.strawpoll.me/22152225),485
